"bank_id","species","common_name"
846,"Acantharchus pomotis","Mud Sunfish"
673,"Acantharchus pomotis","Mud Sunfish"
674,"Acantharchus pomotis","Mud Sunfish"
656,"Acantharchus pomotis","Mud Sunfish"
6005,"Acantharchus pomotis","Mud Sunfish"
1528,"Acantharchus pomotis","Mud Sunfish"
242,"Acantharchus pomotis","Mud Sunfish"
1893,"Acantharchus pomotis","Mud Sunfish"
4699,"Acantharchus pomotis","Mud Sunfish"
478,"Acantharchus pomotis","Mud Sunfish"
2172,"Acantharchus pomotis","Mud Sunfish"
5847,"Acantharchus pomotis","Mud Sunfish"
686,"Acantharchus pomotis","Mud Sunfish"
1068,"Acantharchus pomotis","Mud Sunfish"
5518,"Acantharchus pomotis","Mud Sunfish"
641,"Acantharchus pomotis","Mud Sunfish"
642,"Acantharchus pomotis","Mud Sunfish"
2433,"Acantharchus pomotis","Mud Sunfish"
5199,"Acantharchus pomotis","Mud Sunfish"
6063,"Acantharchus pomotis","Mud Sunfish"
6822,"Acantharchus pomotis","Mud Sunfish"
483,"Acantharchus pomotis","Mud Sunfish"
3150,"Acantharchus pomotis","Mud Sunfish"
1855,"Acantharchus pomotis","Mud Sunfish"
1144,"Acantharchus pomotis","Mud Sunfish"
675,"Acantharchus pomotis","Mud Sunfish"
2266,"Acantharchus pomotis","Mud Sunfish"
5461,"Acantharchus pomotis","Mud Sunfish"
2848,"Acantharchus pomotis","Mud Sunfish"
1980,"Acantharchus pomotis","Mud Sunfish"
2638,"Acantharchus pomotis","Mud Sunfish"
7178,"Acantharchus pomotis","Mud Sunfish"
6415,"Acantharchus pomotis","Mud Sunfish"
2179,"Acantharchus pomotis","Mud Sunfish"
